# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -3.110; 1.247; 3.351
1.5; 0.328; -2.398; 2.092; 3.182
3.0; 0.719; -1.450; 2.705; 3.069
4.5; 1.135; -1.219; 2.828; 3.079
6.0; 1.578; 0.597; 2.825; 2.888
7.5; 2.005; 1.090; 2.624; 2.841
9.0; 2.381; 1.408; 2.329; 2.721
10.5; 2.703; 2.144; 1.367; 2.542
12.0; 2.979; 2.539; 0.229; 2.550
13.5; 3.221; 2.402; -0.497; 2.453
15.0; 3.452; -0.561; -0.341; 0.656
16.5; 3.704; -3.334; 0.777; 3.424
18.0; 4.011; -2.676; 1.831; 3.243
19.5; 4.387; -1.932; 2.410; 3.089
21.0; 4.806; -1.139; 2.875; 3.093
22.5; 5.303; -1.468; 2.531; 2.926
24.0; 5.816; 1.882; 1.874; 2.656
25.5; 6.218; 1.879; 1.900; 2.673
27.0; 6.553; 2.036; 1.566; 2.569
28.5; 6.839; 2.432; 0.691; 2.529
30.0; 7.095; 1.507; -0.409; 1.562
31.5; 7.365; -3.171; -0.926; 3.303
33.0; 7.694; -3.028; 0.399; 3.054
34.5; 8.136; -2.415; 1.485; 2.835
36.0; 8.707; -0.332; 2.766; 2.786
37.5; 9.267; 0.558; 2.775; 2.831
39.0; 9.770; 0.057; 2.865; 2.866
40.5; 10.196; 1.862; 0.478; 1.922
42.0; 10.536; 2.116; -1.511; 2.600
43.5; 10.832; 1.953; -1.671; 2.570
45.0; 11.099; 2.167; -1.205; 2.479
46.5; 11.352; -0.320; -0.395; 0.508
48.0; 11.630; -3.206; 0.799; 3.304
49.5; 11.969; -2.684; 1.635; 3.143
51.0; 12.384; -1.207; 2.796; 3.045
52.5; 12.912; -1.481; 2.626; 3.014
54.0; 13.466; 1.145; 2.589; 2.831
55.5; 13.903; 1.407; 2.367; 2.753
57.0; 14.260; 2.032; 1.545; 2.552
58.5; 14.559; 2.587; 0.164; 2.592
60.0; 14.822; 1.717; -0.175; 1.726
61.5; 15.091; -3.110; 1.247; 3.351
