# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.05283; 0.0; -7.0; 2.0
1.5; 0.328; 0.09048; 4.5; -8.0; 2.5
3.0; 0.719; 0.12116; 0.2; -2.9; 2.6
4.5; 1.135; 0.10614; 4.1; 0.0; 2.6
6.0; 1.578; 0.10116; 6.1; 0.0; 2.5
7.5; 2.005; 0.06899; 13.5; -6.0; 2.2
9.0; 2.381; 0.03017; 17.6; -7.0; 1.3
10.5; 2.703; 0.00333; 18.2; -5.6; 0.2
12.0; 2.979; -0.00772; 17.9; -5.3; -0.5
13.5; 3.221; -0.00421; 1.4; -0.0; -0.3
15.0; 3.452; 0.01364; 0.0; -9.8; 0.7
16.5; 3.704; 0.04119; 0.0; -7.8; 1.7
18.0; 4.011; 0.07374; 2.3; -7.7; 2.3
19.5; 4.387; 0.11641; 0.8; -3.2; 2.7
21.0; 4.806; 0.09594; 0.0; -4.1; 2.4
22.5; 5.303; 0.07516; 16.3; -7.6; 1.8
24.0; 5.816; 0.06360; 10.8; -1.8; 1.8
25.5; 6.218; 0.03780; 17.1; -7.1; 1.5
27.0; 6.553; 0.01263; 17.7; -5.8; 0.6
28.5; 6.839; -0.00748; 8.8; -0.0; -0.4
30.0; 7.095; -0.01647; 0.0; -9.4; -0.9
31.5; 7.365; 0.01837; 0.0; -9.6; 0.4
33.0; 7.694; 0.09792; 5.2; -13.0; 1.4
34.5; 8.136; 0.24911; 13.5; -12.3; 2.6
36.0; 8.707; 0.27809; 4.7; 0.0; 2.6
37.5; 9.267; 0.24570; 4.4; -1.7; 2.7
39.0; 9.770; 0.02281; 21.0; -12.2; 0.4
40.5; 10.196; -0.03889; 14.3; -4.1; -1.4
42.0; 10.536; -0.03421; 14.2; -4.2; -1.6
43.5; 10.832; -0.01978; 17.0; -5.7; -1.1
45.0; 11.099; -0.00527; 1.9; -0.0; -0.4
46.5; 11.352; 0.01696; 0.0; -9.7; 0.7
48.0; 11.630; 0.04946; 0.0; -8.2; 1.5
49.5; 11.969; 0.10539; 6.1; -8.7; 2.6
51.0; 12.384; 0.12686; 0.0; -3.9; 2.5
52.5; 12.912; 0.11450; 7.7; -1.6; 2.4
54.0; 13.466; 0.08832; 11.4; -4.1; 2.2
55.5; 13.903; 0.04084; 18.5; -8.6; 1.4
57.0; 14.260; 0.00235; 18.0; -5.6; 0.2
58.5; 14.559; -0.00278; 9.5; -0.0; -0.2
60.0; 14.822; 0.02479; 0.0; -9.2; 1.2
