# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 5.06; -0.00539; 0.35422; -0.41227; 0.06810
1.5; 0.328; 4.24; -0.00728; 0.50263; -0.20936; 0.19739
3.0; 0.719; 3.63; -0.01038; 0.72231; 0.10624; 0.18683
4.5; 1.135; 3.09; -0.03006; 1.02812; 0.22383; 0.00004
6.0; 1.578; 3.33; -0.00145; 0.66899; 0.06797; -0.14642
7.5; 2.005; 3.82; 0.00669; 0.71048; -0.16694; -0.14447
9.0; 2.381; 4.38; -0.00174; 0.45858; -0.34365; -0.07897
10.5; 2.703; 5.10; -0.00322; 0.17758; -0.45280; -0.05393
12.0; 2.979; 5.82; -0.00135; -0.02428; -0.54025; -0.05228
13.5; 3.221; 6.42; 0.00196; -0.10329; -0.60925; -0.03612
15.0; 3.452; 6.28; 0.00203; -0.03589; -0.62532; 0.01204
16.5; 3.704; 5.42; -0.00364; 0.21428; -0.54931; 0.08941
18.0; 4.011; 4.56; -0.00741; 0.45190; -0.35157; 0.17158
19.5; 4.387; 3.80; -0.00638; 0.61503; -0.06302; 0.18872
21.0; 4.806; 3.29; -0.02941; 1.00583; 0.13645; 0.07860
22.5; 5.303; 2.47; -0.08157; 1.14662; 0.06879; -0.02050
24.0; 5.816; 3.38; 0.00970; 0.36663; -0.02953; -0.04919
25.5; 6.218; 4.17; 0.00543; 0.50006; -0.13800; -0.08207
27.0; 6.553; 4.88; -0.00256; 0.23406; -0.24305; -0.04351
28.5; 6.839; 5.59; -0.00238; 0.07406; -0.28031; 0.00755
30.0; 7.095; 5.99; 0.00104; -0.13211; -0.23885; 0.05110
31.5; 7.365; 5.11; 0.00419; -0.19191; -0.15397; 0.04203
33.0; 7.694; 4.08; 0.00229; 0.32178; -0.10572; -0.01353
34.5; 8.136; 2.94; 0.02208; 0.68137; -0.15818; -0.10610
36.0; 8.707; 2.80; 0.03685; 0.96709; -0.32028; -0.13307
37.5; 9.267; 3.14; 0.01066; 0.71988; -0.39827; 0.00754
39.0; 9.770; 3.20; 0.01156; 0.87022; -0.21881; 0.22069
40.5; 10.196; 4.03; -0.00116; -0.30439; 0.07594; 0.16699
42.0; 10.536; 4.77; 0.00046; -0.32442; 0.19406; 0.00517
43.5; 10.832; 5.37; 0.00497; -0.31687; 0.13162; -0.08402
45.0; 11.099; 5.96; 0.00530; -0.16418; 0.00270; -0.08899
46.5; 11.352; 5.88; 0.00224; -0.02470; -0.09393; -0.04880
48.0; 11.630; 4.96; -0.00263; 0.24770; -0.12924; -0.00948
49.5; 11.969; 4.01; -0.00075; 0.47566; -0.13721; -0.01829
51.0; 12.384; 3.48; -0.01036; 0.81348; -0.18366; -0.04177
52.5; 12.912; 2.63; -0.04014; 1.11115; -0.28130; 0.00060
54.0; 13.466; 3.25; 0.01335; 0.65227; -0.24134; 0.05202
55.5; 13.903; 3.90; 0.00712; 0.57357; -0.19801; 0.00262
57.0; 14.260; 4.66; -0.00142; 0.20267; -0.23327; -0.03363
58.5; 14.559; 5.46; -0.00120; -0.05834; -0.32172; -0.06860
60.0; 14.822; 5.92; 0.00075; -0.01884; -0.41717; -0.05023
61.5; 15.091; 5.06; -0.00539; 0.35422; -0.41227; 0.06810
